LocationID,OwnerCSZ,ManagerCSZ,ZIp1,ZIp2,ARPLatitude,ARPLatitudeS,ARPLongitude,ARPLongitudeS
'ADK,"ANCHORAGE, AK 99519","ADAK, AK 99546",99519,99546,51-53-00.8954N,186780.8954N,176-38-32.9277W,635912.9277W
'AKK,"JUNEAU, AK 99811-6900","KODIAK, AK 99615",99811-6900,99615,56-56-19.2870N,204979.2870N,154-10-57.2000W,555057.2000W
'Z13,"ANCHORAGE, AK 99519-6900","BETHEL, AK 99559",99519-6900,99559,60-54-49.7150N,219289.7150N,161-29-35.9850W,581375.9850W
'AKI,"ANCHORAGE, AK 99519-6900","BETHEL, AK 99559",99519-6900,99559,60-54-10.4300N,219250.4300N,161-13-50.1000W,580430.1000W
'KQA,"AKUTAN, AK 99553","AKUTAN, AK 99553",99553,99553,54-08-02.0400N,194882.0400N,165-46-42.1800W,596802.1800W
'7AK,"JUNEAU, AK 99811-2506","DUTCH HARBOR, AK 99692",99811-2506,99692,54-08-40.6000N,194920.6000N,165-36-14.7900W,596174.7900W
'AUK,"FAIRBANKS, AK 99709","UNALAKLEET, AK 99684",99709,99684,62-40-59.0000N,225659.0000N,164-43-19.9000W,592999.9000W
'Z33,"ALEKNAGIK, AK 99555","ALEKNAGIK, AK 99555",99555,99555,59-16-26.3210N,213386.3210N,158-37-24.9210W,571044.9210W
'5A8,"ANCHORAGE, AK 99519-6900","DILLINGHAM, AK 99576",99519-6900,99576,59-16-57.2000N,213417.2000N,158-37-04.3200W,571024.3200W
'4AK7,"ANCHORAGE, AK 99502","ANCHORAGE, AK 99502",99502,99502,59-16-51.3240N,213411.3240N,158-35-49.9210W,570949.9210W
'6A8,"FAIRBANKS, AK 99709","FAIRBANKS, AK 99709",99709,99709,66-33-06.6000N,239586.6000N,152-37-19.8000W,549439.8000W
'AFM,"FAIRBANKS, AK 99709","KOTZEBUE, AK 99752",99709,99752,67-06-22.3282N,241582.3282N,157-51-25.8151W,568285.8151W
'80A,"FAIRBANKS, AK 99709",,99709,#VALUE!,65-06-14.3350N,234374.3350N,151-10-38.0400W,544238.0400W
'AK81,"KODIAK, AK 99615","KODIAK, AK 99615",99615,99615,57-28-17.3770N,206897.3770N,153-48-55.2980W,553735.2980W
'AKP,"BARROW, AK 99723","BARROW, AK 99723",99723,99723,68-08-01.0000N,245281.0000N,151-44-36.0000W,546276.0000W
'AK00,"ANCHOR POINT, AK 99556","ANCHOR POINT, AK 99556",99556,99556,59-47-48.0000N,215268.0000N,151-51-48.0000W,546708.0000W
'00AK,"ANCHOR POINT, AK 99556","ANCHOR POINT, AK 99556",99556,99556,59-56-56.0000N,215816.0000N,151-41-32.0000W,546092.0000W
'2OK,"ANCHORAGE, AK 99501-4129","ANCHORAGE, AK 99501-4129",99501-4129,99501-4129,61-12-45.7300N,220365.7300N,149-49-35.7000W,539375.7000W
'99AA,"ANCHORAGE, AK 99501","ANCHORAGE, AK 99501",99501,99501,61-13-08.0600N,220388.0600N,149-53-11.3300W,539591.3300W
'A13,"ANCHORAGE, AK 99516","ANCHORAGE, AK 99516",99516,99516,61-20-28.8200N,220828.8200N,148-59-55.9700W,536395.9700W
'CSR,"ANCHORAGE, AK 99507","ANCHORAGE, AK 99507",99507,99507,61-09-31.3200N,220171.3200N,149-46-50.2000W,539210.2000W
'AK82,"ANCHORAGE, AK 99507","ANCHORAGE, AK 99507",99507,99507,61-09-22.0700N,220162.0700N,149-47-32.2800W,539252.2800W
