airport,lat,long
ADK,51.8835820556,-176.642479917
ANC,61.1741565,-149.998188639
ANI,61.5815833333,-159.543055556
BRW,71.2848611111,-156.768583333
BET,60.7785555556,-161.837166667
CDV,60.4917777778,-145.477555556
SCC,70.1947541111,-148.465164861
DLG,59.0446666667,-158.5055
FAI,64.8151111111,-147.856444444
GST,58.4252777778,-135.707416667
JNU,58.3547118056,-134.578470528
KTN,55.3540833333,-131.711222222
AKN,58.6764934722,-156.648691
ADQ,57.7497919444,-152.493954389
OTZ,66.8848055556,-162.598138889
OME,64.5125525833,-165.444370528
PSG,56.8014722222,-132.946222222
SIT,57.0468343611,-135.361068694
KSM,62.0608333333,-163.301833333
DUT,53.8989444444,-166.545027778
WRG,56.4843333333,-132.369833333
YAK,59.5033220278,-139.660268889
BHM,33.5638888889,-86.7523055556
DHN,31.3210277778,-85.4494722222
HSV,34.6371944444,-86.7750555556
MOB,30.6914166667,-88.2428333333
MGM,32.3006388889,-86.3939722222
XNA,36.2815791667,-94.3077655556
FSM,35.3365833333,-94.3674444444
LIT,34.7294444444,-92.2247777778
TXK,33.4537222222,-93.9910277778
PPG,-14.33166,-170.711503056
IFP,35.1546138889,-114.559332222
FLG,35.1403055556,-111.66925
GCN,35.9523611111,-112.146972222
PHX,33.4342777778,-112.011583333
TUS,32.1160833333,-110.941027778
ACV,40.9778333333,-124.108472222
BFL,35.4338611111,-119.057666667
BUR,34.2006944444,-118.358666667
CIC,39.7953888889,-121.858416667
CCR,37.9896666667,-122.056888889
CEC,41.7801666667,-124.236527778
FAT,36.7765555556,-119.718833333
IPL,32.8342222222,-115.57875
IYK,35.6587412778,-117.8295325
LGB,33.8176388889,-118.151472222
LAX,33.9424944444,-118.408047222
MMH,37.6240555556,-118.83875
MOD,37.6258333333,-120.954416667
MRY,36.5869522222,-121.842783056
OAK,37.72125,-122.221138889
ONT,34.056,-117.601194444
OXR,34.2008055556,-119.207222222
PSP,33.8296666667,-116.506694444
PMD,34.6293888889,-118.084552778
RDD,40.5089722222,-122.293388889
SMF,38.6954444444,-121.590777778
SAN,32.7335555556,-117.189666667
SFO,37.6188055556,-122.375416667
SJC,37.3629923889,-121.928620778
SBP,35.2372777778,-120.642611111
SNA,33.6756666667,-117.868222222
SBA,34.4261913611,-119.841492694
SMX,34.8999335,-120.458074111
STS,38.5096944444,-122.812888889
TVL,38.8938888889,-119.995333333
SCK,37.8941666667,-121.238305556
VIS,36.3186388889,-119.392861111
ASE,39.2218777778,-106.868234722
COS,38.8058055556,-104.700777778
DEN,39.8616666667,-104.673166667
DRO,37.1515277778,-107.753777778
EGE,39.64275,-106.915944444
GJT,39.1224125,-108.526734722
GUC,38.5343333333,-106.93175
MTJ,38.5098055556,-107.89425
PUB,38.2899444444,-104.498027778
TEX,37.9538055556,-107.90875
HVN,41.26375,-72.8868055556
BDL,41.9391451111,-72.6833712778
DCA,38.8514444444,-77.0377222222
IAD,38.9474444444,-77.4599444444
ILG,39.6787222222,-75.6066388889
DAB,29.1799166667,-81.0580555556
FLL,26.0716666667,-80.1496944444
RSW,26.5361666667,-81.7551666667
GNV,29.6900555556,-82.2717777778
JAX,30.4940555556,-81.6878333333
EYW,24.5561111111,-81.7595555556
MTH,24.7261944444,-81.0513611111
MLB,28.10275,-80.64525
MIA,25.7953611111,-80.2901111111
APF,26.1524415278,-81.7756387778
MCO,28.4293888889,-81.309
ECP,30.35825,-85.7956111111
PNS,30.4734255556,-87.1866122222
PGD,26.9189376667,-81.9909258056
SRQ,27.3954444444,-82.5543888889
PIE,27.9086879722,-82.68649325
TLH,30.39675,-84.3508611111
TPA,27.9754722222,-82.53325
VPS,30.4832194167,-86.5260443333
PBI,26.6831666667,-80.0955833333
ABY,31.5355277778,-84.1944722222
ATL,33.6366996111,-84.427864
AGS,33.3699444444,-81.9645
BQK,31.2590346944,-81.4663158333
CSG,32.5163333333,-84.9388611111
MCN,32.6928333333,-83.6492222222
SAV,32.1275833333,-81.2021388889
VLD,30.7813722222,-83.2762194444
GUM,13.4839525833,144.797132111
ITO,19.720263,-155.048470139
HNL,21.3178275,-157.920262722
OGG,20.8986497222,-156.430457861
KOA,19.7387658333,-156.045631389
MKK,21.1528858333,-157.096256111
LNY,20.7856111111,-156.951418056
LIH,21.9759828611,-159.338957722
CID,41.8846885833,-91.7107986111
DSM,41.5339722222,-93.6630833333
DBQ,42.402,-90.7094722222
SUX,42.4026111111,-96.3843611111
ALO,42.5570833333,-92.4003333333
BOI,43.5643611111,-116.222861111
SUN,43.5037805556,-114.295558333
IDA,43.5137222222,-112.07075
LWS,46.3745,-117.015388889
PIH,42.9098055556,-112.595916667
TWF,42.4818055556,-114.48775
BMI,40.4771111111,-88.9159166667
CMI,40.0388333333,-88.2778055556
MDW,41.7859722222,-87.7524166667
ORD,41.9773201389,-87.9080059167
RFD,42.1953611111,-89.0972222222
MLI,41.4482777778,-90.5075277778
PIA,40.6641944444,-89.69325
SPI,39.8442222222,-89.6780833333
EVV,38.0408055556,-87.5285
FWA,40.9784722222,-85.1951666667
IND,39.7173055556,-86.2946388889
SBN,41.7082222222,-86.3173333333
GCK,37.9275277778,-100.724416667
HYS,38.8422222222,-99.2731666667
MHK,39.1412339444,-96.671797
FOE,38.9509444444,-95.6636111111
ICT,37.6499444444,-97.4330555556
CVG,39.0488366667,-84.6678222222
LEX,38.03675,-84.6086388889
SDF,38.1740858333,-85.7364988889
PAH,37.0602875,-88.7729583333
AEX,31.3273716667,-92.5485561111
BTR,30.5329166667,-91.1498888889
LFT,30.2050277778,-91.98775
LCH,30.1260833333,-93.2234166667
MLU,32.5108611111,-92.0376666667
MSY,29.9932777778,-90.2590277778
SHV,32.4466111111,-93.8256111111
BOS,42.3629444444,-71.0063888889
HYA,41.6693333333,-70.2803611111
ACK,41.2529750556,-70.0599114167
MVY,41.3934220556,-70.6138841389
ORH,42.2671388889,-71.8756111111
BWI,39.1757276667,-76.6689922778
BGR,44.8074444444,-68.8281388889
PWM,43.6456435,-70.3086163611
APN,45.0780833333,-83.5603055556
DET,42.4093270833,-83.0101821389
